loss,mae,mse,val_loss,val_mae,val_mse,learning_rate
0.7857125401496887,0.6918763518333435,0.7857125401496887,0.3968677222728729,0.4930334687232971,0.3968677222728729,0.0010000000474974513
0.37175998091697693,0.45739758014678955,0.37175998091697693,0.2340283840894699,0.3005232512950897,0.2340283840894699,0.0010000000474974513
0.28233301639556885,0.37913960218429565,0.28233301639556885,0.20860354602336884,0.30011487007141113,0.20860354602336884,0.0010000000474974513
0.24517004191875458,0.3435133099555969,0.24517004191875458,0.1961764097213745,0.2714124023914337,0.1961764097213745,0.0010000000474974513
0.2086978256702423,0.31344345211982727,0.2086978256702423,0.1901218742132187,0.29133301973342896,0.1901218742132187,0.0010000000474974513
0.21816647052764893,0.30593636631965637,0.21816647052764893,0.18889683485031128,0.28053829073905945,0.18889683485031128,0.0010000000474974513
0.20378679037094116,0.30061787366867065,0.20378679037094116,0.20391377806663513,0.2600363492965698,0.20391377806663513,0.0010000000474974513
0.20517483353614807,0.3065839409828186,0.20517483353614807,0.18690980970859528,0.2652430534362793,0.18690980970859528,0.0010000000474974513
0.19454185664653778,0.2866998314857483,0.19454185664653778,0.19358141720294952,0.27272045612335205,0.19358141720294952,0.0010000000474974513
0.20562393963336945,0.30483749508857727,0.20562393963336945,0.18784603476524353,0.26146724820137024,0.18784603476524353,0.0010000000474974513
0.18709194660186768,0.2795042395591736,0.18709194660186768,0.1791168451309204,0.2529144585132599,0.1791168451309204,0.0010000000474974513
0.1838587373495102,0.27994972467422485,0.1838587373495102,0.1833048164844513,0.28026387095451355,0.1833048164844513,0.0010000000474974513
0.17957787215709686,0.27839434146881104,0.17957787215709686,0.178053081035614,0.24969005584716797,0.178053081035614,0.0010000000474974513
0.19102251529693604,0.28129705786705017,0.19102251529693604,0.1816522479057312,0.26180022954940796,0.1816522479057312,0.0010000000474974513
0.16737748682498932,0.2778787314891815,0.16737748682498932,0.18639607727527618,0.252453088760376,0.18639607727527618,0.0010000000474974513
0.16482782363891602,0.26590171456336975,0.16482782363891602,0.1777164191007614,0.2567577362060547,0.1777164191007614,0.0010000000474974513
0.16261856257915497,0.26555779576301575,0.16261856257915497,0.1895482838153839,0.27204662561416626,0.1895482838153839,0.0010000000474974513
0.16402296721935272,0.26323434710502625,0.16402296721935272,0.19005048274993896,0.2637437582015991,0.19005048274993896,0.0010000000474974513
0.17029517889022827,0.2698041498661041,0.17029517889022827,0.17365606129169464,0.25228816270828247,0.17365606129169464,0.0010000000474974513
0.16524113714694977,0.2663539946079254,0.16524113714694977,0.18534353375434875,0.2522543668746948,0.18534353375434875,0.0010000000474974513
0.16189853847026825,0.2626948952674866,0.16189853847026825,0.19707803428173065,0.28650614619255066,0.19707803428173065,0.0010000000474974513
0.16232526302337646,0.26938724517822266,0.16232526302337646,0.18644453585147858,0.2581246793270111,0.18644453585147858,0.0010000000474974513
0.16351915895938873,0.2603365480899811,0.16351915895938873,0.17588134109973907,0.2508484721183777,0.17588134109973907,0.0010000000474974513
0.1517605036497116,0.24496428668498993,0.1517605036497116,0.18606339395046234,0.25934910774230957,0.18606339395046234,0.0010000000474974513
0.15854063630104065,0.25375741720199585,0.15854063630104065,0.17746078968048096,0.2679201364517212,0.17746078968048096,0.0010000000474974513
0.14548058807849884,0.2524498403072357,0.14548058807849884,0.18162640929222107,0.2644560933113098,0.18162640929222107,0.0010000000474974513
0.1719352751970291,0.2633501887321472,0.1719352751970291,0.1786528080701828,0.2658328711986542,0.1786528080701828,0.0010000000474974513
0.15848465263843536,0.25442326068878174,0.15848465263843536,0.18782122433185577,0.2653527855873108,0.18782122433185577,0.0010000000474974513
0.15195436775684357,0.252413272857666,0.15195436775684357,0.18735291063785553,0.2718814015388489,0.18735291063785553,0.0010000000474974513
0.15300995111465454,0.24731731414794922,0.15300995111465454,0.1815597414970398,0.26255086064338684,0.1815597414970398,0.0010000000474974513
0.15412801504135132,0.24898135662078857,0.15412801504135132,0.18263621628284454,0.2756079137325287,0.18263621628284454,0.0010000000474974513
0.15329033136367798,0.2528288662433624,0.15329033136367798,0.1825520396232605,0.26949813961982727,0.1825520396232605,0.0010000000474974513
0.1422732174396515,0.24476619064807892,0.1422732174396515,0.19115546345710754,0.25169262290000916,0.19115546345710754,0.0010000000474974513
0.14732292294502258,0.2377929836511612,0.14732292294502258,0.18710537254810333,0.25554680824279785,0.18710537254810333,0.0010000000474974513
0.14154839515686035,0.23182275891304016,0.14154839515686035,0.18914921581745148,0.28769901394844055,0.18914921581745148,0.0010000000474974513
0.1364939659833908,0.23307345807552338,0.1364939659833908,0.18824799358844757,0.25579649209976196,0.18824799358844757,0.0010000000474974513
0.14324794709682465,0.23413331806659698,0.14324794709682465,0.1782313883304596,0.2784441411495209,0.1782313883304596,0.0010000000474974513
0.14688241481781006,0.2493307888507843,0.14688241481781006,0.18212921917438507,0.25590190291404724,0.18212921917438507,0.0010000000474974513
0.13000288605690002,0.23319348692893982,0.13000288605690002,0.19399046897888184,0.2460310310125351,0.19399046897888184,0.0010000000474974513
0.14871825277805328,0.2410583347082138,0.14871825277805328,0.1786152571439743,0.2578250765800476,0.1786152571439743,0.0005000000237487257
0.13609416782855988,0.226109117269516,0.13609416782855988,0.17899394035339355,0.26086315512657166,0.17899394035339355,0.0005000000237487257
0.1393701583147049,0.2426590770483017,0.1393701583147049,0.1817690134048462,0.26699063181877136,0.1817690134048462,0.0005000000237487257
0.13796760141849518,0.230481818318367,0.13796760141849518,0.1837565302848816,0.2525058686733246,0.1837565302848816,0.0005000000237487257
0.131745845079422,0.22734349966049194,0.131745845079422,0.17797991633415222,0.2647963762283325,0.17797991633415222,0.0005000000237487257
0.13303133845329285,0.22745919227600098,0.13303133845329285,0.18206149339675903,0.2613438069820404,0.18206149339675903,0.0005000000237487257
0.1344936490058899,0.22902728617191315,0.1344936490058899,0.18107396364212036,0.2618134915828705,0.18107396364212036,0.0005000000237487257
0.13628098368644714,0.2254752218723297,0.13628098368644714,0.1771172732114792,0.2615363597869873,0.1771172732114792,0.0005000000237487257
0.1387171596288681,0.22642754018306732,0.1387171596288681,0.1823480725288391,0.2627897560596466,0.1823480725288391,0.0005000000237487257
0.1336422711610794,0.23273620009422302,0.1336422711610794,0.18267421424388885,0.25627902150154114,0.18267421424388885,0.0005000000237487257
0.13223204016685486,0.2305183857679367,0.13223204016685486,0.19032612442970276,0.2826020121574402,0.19032612442970276,0.0005000000237487257
0.12592938542366028,0.224847212433815,0.12592938542366028,0.17959974706172943,0.2609948515892029,0.17959974706172943,0.0005000000237487257
0.13168124854564667,0.23416563868522644,0.13168124854564667,0.18481872975826263,0.25895822048187256,0.18481872975826263,0.0005000000237487257
0.13368737697601318,0.22705921530723572,0.13368737697601318,0.19288699328899384,0.2673250734806061,0.19288699328899384,0.0005000000237487257
0.1326460838317871,0.2293013483285904,0.1326460838317871,0.18226979672908783,0.2541276812553406,0.18226979672908783,0.0005000000237487257
0.13275909423828125,0.2295192927122116,0.13275909423828125,0.19067704677581787,0.2671992778778076,0.19067704677581787,0.0005000000237487257
0.1260463148355484,0.22536039352416992,0.1260463148355484,0.1829388439655304,0.2509523928165436,0.1829388439655304,0.0005000000237487257
0.13660363852977753,0.22402842342853546,0.13660363852977753,0.18567994236946106,0.2625141739845276,0.18567994236946106,0.0005000000237487257
0.13052569329738617,0.22652237117290497,0.13052569329738617,0.18465974926948547,0.2554391622543335,0.18465974926948547,0.0005000000237487257
0.12710687518119812,0.22131192684173584,0.12710687518119812,0.18494537472724915,0.2714362144470215,0.18494537472724915,0.0005000000237487257
0.12921644747257233,0.23485508561134338,0.12921644747257233,0.18042303621768951,0.2598135471343994,0.18042303621768951,0.0002500000118743628
0.12364083528518677,0.22161617875099182,0.12364083528518677,0.1857430785894394,0.25755953788757324,0.1857430785894394,0.0002500000118743628
0.1287139356136322,0.22255666553974152,0.1287139356136322,0.18299832940101624,0.25873681902885437,0.18299832940101624,0.0002500000118743628
0.1337289810180664,0.23480097949504852,0.1337289810180664,0.1840478628873825,0.2633431553840637,0.1840478628873825,0.0002500000118743628
0.13003602623939514,0.22803740203380585,0.13003602623939514,0.18135301768779755,0.25568556785583496,0.18135301768779755,0.0002500000118743628
0.12554360926151276,0.22549739480018616,0.12554360926151276,0.185054749250412,0.2612985074520111,0.185054749250412,0.0002500000118743628
0.12794911861419678,0.22169065475463867,0.12794911861419678,0.18567867577075958,0.27179068326950073,0.18567867577075958,0.0002500000118743628
0.12004227191209793,0.21867293119430542,0.12004227191209793,0.18508626520633698,0.2604508399963379,0.18508626520633698,0.0002500000118743628
0.12506507337093353,0.22131919860839844,0.12506507337093353,0.184122696518898,0.2578008472919464,0.184122696518898,0.0002500000118743628
0.12813988327980042,0.22123807668685913,0.12813988327980042,0.1876140981912613,0.2665671706199646,0.1876140981912613,0.0002500000118743628
